date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:45	117/117	---M-Z	200	added ('OK')	text/plain	date:Fri,%2010%20Oct%202025%2009:51:30%20GMT	https://acecharityafrica.org/robots.txt		(from )
12:40:48	145666/145666	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Oct%202025%2011:40:48%20GMT	https://acecharityafrica.org/	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/index.html	(from )
12:40:50	282034/282034	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Oct%202025%2009:17:04%20GMT	https://acecharityafrica.org/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.7.0	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main4250.css	(from https://acecharityafrica.org/)
12:40:51	35266/35266	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2019%20Aug%202025%2017:38:34%20GMT	https://acecharityafrica.org/feed/	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/feed/index.html	(from https://acecharityafrica.org/)
12:40:53	53614/53614	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Oct%202025%2009:17:01%20GMT	https://acecharityafrica.org/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.4	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/wp-content/plugins/elementor/assets/css/frontend.min4a4c.css	(from https://acecharityafrica.org/)
12:40:53	712/712	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2019%20Aug%202025%2017:38:34%20GMT	https://acecharityafrica.org/comments/feed/	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/comments/feed/index.html	(from https://acecharityafrica.org/)
12:40:54	12773/12773	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Oct%202025%2009:23:08%20GMT	https://acecharityafrica.org/wp-content/uploads/elementor/css/post-12.css?ver=1759742588	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/wp-content/uploads/elementor/css/post-1233f2.css	(from https://acecharityafrica.org/)
12:40:55	600/600	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Oct%202025%2009:17:01%20GMT	https://acecharityafrica.org/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.4	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/wp-content/plugins/elementor/assets/css/widget-heading.min4a4c.css	(from https://acecharityafrica.org/)
12:40:56	254/254	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Oct%202025%2009:17:01%20GMT	https://acecharityafrica.org/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.32.4	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/wp-content/plugins/elementor/assets/css/widget-image.min4a4c.css	(from https://acecharityafrica.org/)
12:40:56	793/793	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Oct%202025%2009:17:01%20GMT	https://acecharityafrica.org/wp-content/plugins/elementor/assets/css/widget-counter.min.css?ver=3.32.4	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/wp-content/plugins/elementor/assets/css/widget-counter.min4a4c.css	(from https://acecharityafrica.org/)
12:40:57	5846/5846	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Oct%202025%2009:17:01%20GMT	https://acecharityafrica.org/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css?ver=3.32.4	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/wp-content/plugins/elementor/assets/css/widget-icon-box.min4a4c.css	(from https://acecharityafrica.org/)
12:40:57	20713/20713	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Oct%202025%2009:17:04%20GMT	https://acecharityafrica.org/wp-content/plugins/jeg-elementor-kit/assets/js/sweetalert2/sweetalert2.min.css?ver=11.6.16	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/wp-content/plugins/jeg-elementor-kit/assets/js/sweetalert2/sweetalert2.min430c.css	(from https://acecharityafrica.org/)
12:40:58	148852/148852	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Oct%202025%2009:27:32%20GMT	https://acecharityafrica.org/wp-content/uploads/elementor/css/post-8.css?ver=1759742852	C:/My%20Web%20Sites/Charity%20website/acecharityafrica.org/wp-content/uploads/elementor/css/post-8a47b.css	(from https://acecharityafrica.org/)
